Downscaled Variable,Predictor,Test Loss,Backbone,Filters,Blocks,Epochs,Parameters,Upsampling Method,Interpolation Method,Batch Size,Learning Rate,Loss Function,Early Stopping,Training Runtime,Model Path,Conv Block,Device
T2,PSFC,0.092095,resnet,8,8,77,684823,spc,inter_area,60,"(0.001, 0.0001)",mae,True,0:57:51.708766,/home/gvaillant1/downscaling/pretrained-models/T2/T2-Other-Models,True,CPU
T2,PSFC,0.075444,densenet,8,8,77,983640,spc,inter_area,60,"(0.001, 0.0001)",mae,True,1:45:58.537286,/home/gvaillant1/downscaling/pretrained-models/T2/T2-Other-Models,True,CPU
T2,WS,0.085168,resnet,8,8,77,684823,spc,inter_area,60,"(0.001, 0.0001)",mae,True,1:03:44.422292,/home/gvaillant1/downscaling/pretrained-models/T2/T2-Other-Models,True,CPU
T2,WS,0.095413,densenet,8,8,77,983640,spc,inter_area,60,"(0.001, 0.0001)",mae,True,1:52:29.562245,/home/gvaillant1/downscaling/pretrained-models/T2/T2-Other-Models,True,CPU
T2,PBLH,0.066783,resnet,8,8,77,684823,spc,inter_area,60,"(0.001, 0.0001)",mae,True,1:20:49.831371,/home/gvaillant1/downscaling/pretrained-models/T2/T2-Best-Model,True,CPU
T2,PBLH,0.090126,densenet,8,8,77,983640,spc,inter_area,60,"(0.001, 0.0001)",mae,True,1:24:38.765037,/home/gvaillant1/downscaling/pretrained-models/T2/T2-Other-Models,True,CPU
T2,SWDOWN,0.074077,resnet,8,8,77,684823,spc,inter_area,60,"(0.001, 0.0001)",mae,True,0:54:30.787457,/home/gvaillant1/downscaling/pretrained-models/T2/T2-Other-Models,True,CPU
T2,PSFC,0.086428,resnet,8,8,77,684823,spc,inter_area,128,"(0.001, 0.0001)",mae,True,3:58:40.143718,/home/gvaillant1/downscaling/pretrained-models/T2/T2-Other-Models,True,CPU
T2,WS,0.083377,resnet,8,8,77,684823,spc,inter_area,128,"(0.001, 0.0001)",mae,True,3:11:29.766799,/home/gvaillant1/downscaling/pretrained-models/T2/T2-Other-Models,True,CPU
T2,PSFC,0.08097,resnet,8,8,77,684823,spc,inter_area,128,"(0.001, 0.0001)",mae,True,2:18:46.513159,/home/gvaillant1/downscaling/pretrained-models/T2/T2-Other-Models,True,CPU
T2,WS,0.079349,resnet,8,8,77,684823,spc,inter_area,128,"(0.001, 0.0001)",mae,True,2:01:31.367599,/home/gvaillant1/downscaling/pretrained-models/T2/T2-Other-Models,True,CPU
T2,PSFC,0.079813,resnet,8,8,77,684823,spc,inter_area,128,"(0.001, 0.0001)",mae,True,2:01:37.449520,/home/gvaillant1/downscaling/pretrained-models/T2/T2-Other-Models,True,CPU
T2,WS,0.091594,resnet,8,8,77,684823,spc,inter_area,128,"(0.001, 0.0001)",mae,True,2:05:22.656077,/home/gvaillant1/downscaling/pretrained-models/T2/T2-Other-Models,True,CPU
