Downscaled Variable,Predictor,Test Loss,Backbone,Filters,Blocks,Epochs,Parameters,Upsampling Method,Interpolation Method,Batch Size,Learning Rate,Loss Function,Early Stopping,Training Runtime,Model Path
T2,NULL,0.60918,resnet,4,8,1,103756,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:00:28.265746,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.193877,resnet,4,8,1,103756,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:00:28.431333,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.137729,resnet,8,8,1,413565,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:00:51.040247,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.642823,densenet,4,8,1,178605,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:00:35.031121,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.365029,densenet,4,8,1,178605,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:00:34.280491,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.157891,densenet,8,8,1,712382,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:01:01.707783,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.184293,densenet,8,8,1,712382,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:00:58.042853,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.851972,resnet,4,2,1,4608,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:00:11.068358,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.155625,resnet,8,2,1,18053,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:00:16.283792,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.727987,densenet,4,2,1,6558,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:00:11.627609,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.317991,densenet,8,2,1,25777,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:00:16.354568,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.052091,resnet,4,6,25,51352,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:06:39.539740,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.062542,resnet,4,6,50,51352,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:13:24.296788,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.055545,resnet,4,6,100,51352,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:23:13.167494,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.116443,resnet,4,8,25,103756,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:07:13.056625,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.105601,resnet,4,8,50,103756,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:15:14.267342,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.059117,resnet,4,8,100,103756,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:30:54.404619,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.062417,resnet,4,12,25,290948,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:13:34.295146,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.054722,resnet,4,12,50,290948,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:27:52.341965,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.055243,resnet,4,12,100,290948,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:56:41.140724,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.053276,resnet,16,6,25,815647,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:23:55.240966,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.048284,resnet,16,6,50,815647,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:48:39.709034,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.047305,resnet,16,6,100,815647,spc,inter_area,60,"(0.001, 0.0001)",mae,False,1:18:26.857439,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.046343,resnet,16,8,25,1651375,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:28:35.717957,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.057415,resnet,16,8,50,1651375,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:56:54.532403,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.038793,resnet,16,8,100,1651375,spc,inter_area,60,"(0.001, 0.0001)",mae,False,1:53:56.994979,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.059047,resnet,16,12,25,4639247,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:59:07.519353,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.049048,resnet,16,12,50,4639247,spc,inter_area,60,"(0.001, 0.0001)",mae,False,2:03:22.152370,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.035372,resnet,16,12,100,4639247,spc,inter_area,60,"(0.001, 0.0001)",mae,False,4:35:58.083030,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.03792,resnet,32,6,25,3258675,spc,inter_area,60,"(0.001, 0.0001)",mae,False,1:09:23.952517,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.796347,resnet,4,6,1,51352,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:00:25.900432,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.234858,densenet,4,6,1,84701,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:00:27.574898,/home/gvaillant1/downscaling/results/T2-Tristate-Other-Models
T2,NULL,0.185015,resnet,4,6,2,51352,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:00:41.375949,/home/gvaillant1/downscaling/pretrained-models/T2-Tristate-Other-Models
T2,NULL,0.130409,densenet,4,6,2,84701,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:00:46.201542,/home/gvaillant1/downscaling/pretrained-models/T2-Tristate-Other-Models
T2,NULL,0.089129,resnet,4,6,3,51352,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:00:57.996892,/home/gvaillant1/downscaling/pretrained-models/T2-Tristate-Other-Models
T2,NULL,0.120211,densenet,4,6,3,84701,spc,inter_area,60,"(0.001, 0.0001)",mae,False,0:02:23.812554,/home/gvaillant1/downscaling/pretrained-models/T2-Tristate-Other-Models
